OTIMIZACAO 5D ETHUSDT 1h
--------------------------------------------------------------------------------
Dist  Stop  Nota  EMA   Min%  Lucro       Win%    
1.0   3.0   40    80    0.2   -4.48       63.0    
1.0   1.5   20    80    0.0   -4.79       64.1    
1.0   1.5   30    80    0.0   -4.79       64.1    
1.0   3.5   40    80    0.1   -7.37       66.7    
1.0   2.0   20    80    0.0   -8.07       63.2    
1.0   2.0   30    80    0.0   -8.07       63.2    
1.0   2.5   40    90    0.1   -9.09       62.5    
1.0   2.5   40    100   0.1   -9.80       62.5    
1.0   3.5   20    90    0.2   -10.10      62.1    
1.0   3.5   30    90    0.2   -10.10      62.1    
1.0   1.5   40    90    0.0   -10.94      63.2    
1.0   1.5   40    100   0.0   -11.21      60.5    
2.0   2.5   40    80    0.2   -11.29      73.9    
2.0   2.5   40    90    0.2   -11.29      73.9    
1.0   3.0   20    80    0.2   -11.47      62.1    
1.0   3.0   30    80    0.2   -11.47      62.1    
2.0   2.5   40    80    0.1   -11.92      73.1    
2.0   2.5   40    90    0.1   -11.92      73.1    
1.0   2.5   40    80    0.1   -12.06      62.5    
2.0   2.5   40    100   0.2   -15.32      73.9    
0.0   2.5   20    80    0.0   -15.49      44.4    
0.0   2.5   20    80    0.1   -15.49      44.4    
0.0   2.5   20    80    0.2   -15.49      44.4    
0.0   2.5   20    90    0.0   -15.49      44.4    
0.0   2.5   20    90    0.1   -15.49      44.4    
0.0   2.5   20    90    0.2   -15.49      44.4    
0.0   2.5   30    80    0.0   -15.49      44.4    
0.0   2.5   30    80    0.1   -15.49      44.4    
0.0   2.5   30    80    0.2   -15.49      44.4    
0.0   2.5   30    90    0.0   -15.49      44.4    
0.0   2.5   30    90    0.1   -15.49      44.4    
0.0   2.5   30    90    0.2   -15.49      44.4    
2.0   2.5   40    100   0.1   -15.95      73.1    
1.0   3.5   40    90    0.2   -17.15      63.0    
1.0   2.0   40    90    0.0   -18.42      62.2    
1.0   3.5   40    80    0.2   -20.09      63.0    
1.0   2.0   20    90    0.0   -20.11      61.5    
1.0   2.0   30    90    0.0   -20.11      61.5    
-1.0  1.5   20    80    0.0   -21.54      0.0     
-1.0  1.5   20    80    0.1   -21.54      0.0     
-1.0  1.5   20    80    0.2   -21.54      0.0     
-1.0  1.5   20    90    0.0   -21.54      0.0     
-1.0  1.5   20    90    0.1   -21.54      0.0     
-1.0  1.5   20    90    0.2   -21.54      0.0     
-1.0  1.5   20    100   0.0   -21.54      0.0     
-1.0  1.5   20    100   0.1   -21.54      0.0     
-1.0  1.5   20    100   0.2   -21.54      0.0     
-1.0  1.5   30    80    0.0   -21.54      0.0     
-1.0  1.5   30    80    0.1   -21.54      0.0     
-1.0  1.5   30    80    0.2   -21.54      0.0     
-1.0  1.5   30    90    0.0   -21.54      0.0     
-1.0  1.5   30    90    0.1   -21.54      0.0     
-1.0  1.5   30    90    0.2   -21.54      0.0     
-1.0  1.5   30    100   0.0   -21.54      0.0     
-1.0  1.5   30    100   0.1   -21.54      0.0     
-1.0  1.5   30    100   0.2   -21.54      0.0     
1.0   2.5   20    90    0.1   -21.61      61.8    
1.0   2.5   30    90    0.1   -21.61      61.8    
1.0   2.5   40    90    0.2   -21.79      58.6    
1.0   2.0   40    100   0.0   -22.06      62.2    
1.0   2.5   20    100   0.1   -22.31      61.8    
1.0   2.5   30    100   0.1   -22.31      61.8    
1.0   2.5   40    100   0.2   -22.49      58.6    
1.0   2.0   20    100   0.0   -23.75      61.5    
1.0   2.0   30    100   0.0   -23.75      61.5    
1.0   2.5   40    80    0.2   -24.72      58.6    
1.0   3.0   40    80    0.0   -26.79      66.7    
1.0   3.5   20    80    0.1   -28.38      64.5    
1.0   3.5   30    80    0.1   -28.38      64.5    
2.0   2.0   20    80    0.0   -31.41      67.7    
2.0   2.0   20    90    0.0   -31.41      67.7    
2.0   2.0   30    80    0.0   -31.41      67.7    
2.0   2.0   30    90    0.0   -31.41      67.7    
-1.0  2.0   20    80    0.0   -31.82      0.0     
-1.0  2.0   20    80    0.1   -31.82      0.0     
-1.0  2.0   20    80    0.2   -31.82      0.0     
-1.0  2.0   20    90    0.0   -31.82      0.0     
-1.0  2.0   20    90    0.1   -31.82      0.0     
-1.0  2.0   20    90    0.2   -31.82      0.0     
-1.0  2.0   20    100   0.0   -31.82      0.0     
-1.0  2.0   20    100   0.1   -31.82      0.0     
-1.0  2.0   20    100   0.2   -31.82      0.0     
-1.0  2.0   30    80    0.0   -31.82      0.0     
-1.0  2.0   30    80    0.1   -31.82      0.0     
-1.0  2.0   30    80    0.2   -31.82      0.0     
-1.0  2.0   30    90    0.0   -31.82      0.0     
-1.0  2.0   30    90    0.1   -31.82      0.0     
-1.0  2.0   30    90    0.2   -31.82      0.0     
-1.0  2.0   30    100   0.0   -31.82      0.0     
