OTIMIZACAO 5D BTCUSDT 1h
--------------------------------------------------------------------------------
Dist  Stop  Nota  EMA   Min%  Lucro       Win%    
2.0   3.0   40    100   0.1   -0.57       100.0   
2.0   3.0   40    100   0.2   -0.57       100.0   
2.0   3.5   20    80    0.1   -0.57       100.0   
2.0   3.5   20    80    0.2   -0.57       100.0   
2.0   3.5   20    90    0.1   -0.57       100.0   
2.0   3.5   20    90    0.2   -0.57       100.0   
2.0   3.5   20    100   0.1   -0.57       100.0   
2.0   3.5   20    100   0.2   -0.57       100.0   
2.0   3.5   30    80    0.1   -0.57       100.0   
2.0   3.5   30    80    0.2   -0.57       100.0   
2.0   3.5   30    90    0.1   -0.57       100.0   
2.0   3.5   30    90    0.2   -0.57       100.0   
2.0   3.5   30    100   0.1   -0.57       100.0   
2.0   3.5   30    100   0.2   -0.57       100.0   
2.0   3.5   40    80    0.1   -0.57       100.0   
2.0   3.5   40    80    0.2   -0.57       100.0   
2.0   3.5   40    90    0.1   -0.57       100.0   
2.0   3.5   40    90    0.2   -0.57       100.0   
2.0   3.5   40    100   0.1   -0.57       100.0   
2.0   3.5   40    100   0.2   -0.57       100.0   
1.0   2.5   20    80    0.2   -33.14      53.3    
1.0   2.5   30    80    0.2   -33.14      53.3    
1.0   2.5   40    80    0.2   -33.14      53.3    
1.0   3.0   20    80    0.2   -33.14      53.3    
1.0   3.0   30    80    0.2   -33.14      53.3    
1.0   3.0   40    80    0.2   -33.14      53.3    
1.0   3.5   20    80    0.2   -33.14      53.3    
1.0   3.5   30    80    0.2   -33.14      53.3    
1.0   3.5   40    80    0.2   -33.14      53.3    
1.0   2.5   20    80    0.1   -37.68      55.6    
1.0   2.5   30    80    0.1   -37.68      55.6    
1.0   2.5   40    80    0.1   -37.68      55.6    
1.0   3.0   20    80    0.1   -37.68      55.6    
1.0   3.0   30    80    0.1   -37.68      55.6    
1.0   3.0   40    80    0.1   -37.68      55.6    
1.0   3.5   20    80    0.1   -37.68      55.6    
1.0   3.5   30    80    0.1   -37.68      55.6    
1.0   3.5   40    80    0.1   -37.68      55.6    
